parent_asin,selection_frequency,quality_tier
B0009P834G,1.0,high_confidence
B000AL9CUI,1.0,high_confidence
B000GX3IIM,1.0,high_confidence
B000KL36EQ,1.0,high_confidence
B000MXB6NA,1.0,high_confidence
B000ROHR78,1.0,high_confidence
B001GS6Y0A,1.0,high_confidence
B001J0HI3C,1.0,high_confidence
B001V5J61M,1.0,high_confidence
B003O696D4,1.0,high_confidence
B003OQTPJO,1.0,high_confidence
B003TMD0YY,1.0,high_confidence
B003WSZXPO,1.0,high_confidence
B004A7YLPY,1.0,high_confidence
B004QMSTGA,1.0,high_confidence
B004ULGY3C,1.0,high_confidence
B006IUT6TC,1.0,high_confidence
B006JUWIZ0,1.0,high_confidence
B007AAL354,1.0,high_confidence
B00851JMW8,1.0,high_confidence
B008M7NZIC,1.0,high_confidence
B008OVRXT8,1.0,high_confidence
B008U7KRBW,1.0,high_confidence
B009UQC8LY,1.0,high_confidence
B00AMX599W,1.0,high_confidence
B00B4AC5LM,1.0,high_confidence
B00CUBLHN6,1.0,high_confidence
B00CZOHFVQ,1.0,high_confidence
B00DEJI6GE,1.0,high_confidence
B00DKW2G7A,1.0,high_confidence
B00DWRKUOO,1.0,high_confidence
B00DY1ER1K,1.0,high_confidence
B00FAVYNKM,1.0,high_confidence
B00H58ODF8,1.0,high_confidence
B00J9C5X3E,1.0,high_confidence
B00JALSVUG,1.0,high_confidence
B00KT12VJI,1.0,high_confidence
B00L5YKFA0,1.0,high_confidence
B00MH331BI,1.0,high_confidence
B00N8Q8PUA,1.0,high_confidence
B00O1FFXH0,1.0,high_confidence
B00O9OA01W,1.0,high_confidence
B00OUT1UUG,1.0,high_confidence
B00PUDT8XM,1.0,high_confidence
B00QNTMTJC,1.0,high_confidence
B00QRVNPJE,1.0,high_confidence
B00RE0FU8G,1.0,high_confidence
B00UG8ZH2C,1.0,high_confidence
B00UGIDBIY,1.0,high_confidence
B00V4ZQYWS,1.0,high_confidence
B00WAXEEU2,1.0,high_confidence
B00WU0KAK8,1.0,high_confidence
B00Y0NG5OS,1.0,high_confidence
B00YV55D84,1.0,high_confidence
B00ZSY1MKU,1.0,high_confidence
B010WE6VHO,1.0,high_confidence
B011LTPIQO,1.0,high_confidence
B013R5RWV4,1.0,high_confidence
B014Z56KUE,1.0,high_confidence
B015ZQ44AK,1.0,high_confidence
B016CE49W2,1.0,high_confidence
B016IO9QVA,1.0,high_confidence
B016P9A6GM,1.0,high_confidence
B01789QZB8,1.0,high_confidence
B0185HDV0A,1.0,high_confidence
B01BE5BU3A,1.0,high_confidence
B01BH6XY58,1.0,high_confidence
B01C6SL1D8,1.0,high_confidence
B01CA5VE20,1.0,high_confidence
B01CEZH3Y4,1.0,high_confidence
B01CFG4WP0,1.0,high_confidence
B01CH539GM,1.0,high_confidence
B01D24J1WI,1.0,high_confidence
B01DJ659UM,1.0,high_confidence
B01DYHXCXW,1.0,high_confidence
B01E6VUOFY,1.0,high_confidence
B01EA2P850,1.0,high_confidence
B01FJVB44A,1.0,high_confidence
B01FXPARHM,1.0,high_confidence
B01G1ORT5M,1.0,high_confidence
B01HJA0W24,1.0,high_confidence
B01HWNHYI8,1.0,high_confidence
B01I2N6GUO,1.0,high_confidence
B01IUJFG60,1.0,high_confidence
B01J5RRQJG,1.0,high_confidence
B01JGRHHTY,1.0,high_confidence
B01KIKLVVS,1.0,high_confidence
B01M16LHXS,1.0,high_confidence
B01M1DW20R,1.0,high_confidence
B01M6U3188,1.0,high_confidence
B01MDPLAZO,1.0,high_confidence
B01MDRGXJ2,1.0,high_confidence
B01MRLC0TY,1.0,high_confidence
B01MSNGOMO,1.0,high_confidence
B01MYUCJBF,1.0,high_confidence
B01N44118B,1.0,high_confidence
B01N4GBG6G,1.0,high_confidence
B01N5I8PKP,1.0,high_confidence
B01N5NG2RW,1.0,high_confidence
B06WWB8RDS,1.0,high_confidence
B06XCT31TK,1.0,high_confidence
B06XGRY2CS,1.0,high_confidence
B06XX1P6Y2,1.0,high_confidence
B06Y45LQP3,1.0,high_confidence
B06Y5SB28W,1.0,high_confidence
B06ZYX4PD5,1.0,high_confidence
B06ZZNRWF1,1.0,high_confidence
B06ZZW2ZT1,1.0,high_confidence
B0711QBT8X,1.0,high_confidence
B0719GWHC8,1.0,high_confidence
B071HSTPDV,1.0,high_confidence
B071JQY33S,1.0,high_confidence
B071RG3CCH,1.0,high_confidence
B071WPG92J,1.0,high_confidence
B071WPGPCT,1.0,high_confidence
B0725NL65K,1.0,high_confidence
B072KW9VLY,1.0,high_confidence
B072N86ZGW,1.0,high_confidence
B072VN8TV8,1.0,high_confidence
B0735V67KT,1.0,high_confidence
B073DYJ2V1,1.0,high_confidence
B073H3GF9H,1.0,high_confidence
B0742JP347,1.0,high_confidence
B0743PTXSY,1.0,high_confidence
B0746GX94R,1.0,high_confidence
B0749967DB,1.0,high_confidence
B074CSP7LV,1.0,high_confidence
B074N2DTSX,1.0,high_confidence
B074N8JH9G,1.0,high_confidence
B074ZTFX43,1.0,high_confidence
B0757ZRV1C,1.0,high_confidence
B075G32GC9,1.0,high_confidence
B075LPBBP6,1.0,high_confidence
B075LPX32H,1.0,high_confidence
B075LVZPH4,1.0,high_confidence
B075QPB1T6,1.0,high_confidence
B075QYCYW1,1.0,high_confidence
B075R22Y5X,1.0,high_confidence
B075SVYYYB,1.0,high_confidence
B075SYJ8M2,1.0,high_confidence
B075VLHTV4,1.0,high_confidence
B0761ZMSPT,1.0,high_confidence
B076BB3LM8,1.0,high_confidence
B076H1YMXG,1.0,high_confidence
B076Z8DSTK,1.0,high_confidence
B0771J3JT8,1.0,high_confidence
B0771TJYV5,1.0,high_confidence
B0777KNK6S,1.0,high_confidence
B077D3CD5T,1.0,high_confidence
B077FRXRT4,1.0,high_confidence
B077JXNCPW,1.0,high_confidence
B077P883XV,1.0,high_confidence
B077SRKXZR,1.0,high_confidence
B077SY7DSS,1.0,high_confidence
B077T7P7BM,1.0,high_confidence
B078WXMNGF,1.0,high_confidence
B0792TWF7C,1.0,high_confidence
B07968N8ZY,1.0,high_confidence
B0796QP1WP,1.0,high_confidence
B079FL4NP4,1.0,high_confidence
B079MSN9X3,1.0,high_confidence
B079NPS3D4,1.0,high_confidence
B07B4875PX,1.0,high_confidence
B07B4NNL91,1.0,high_confidence
B07B4RS2BP,1.0,high_confidence
B07B4VZ9DV,1.0,high_confidence
B07B6GKFC3,1.0,high_confidence
B07B6GQ7GT,1.0,high_confidence
B07BBH2R9M,1.0,high_confidence
B07BJ29CFV,1.0,high_confidence
B07BMFGG4W,1.0,high_confidence
B07BNY5ZB7,1.0,high_confidence
B07BP5KVRG,1.0,high_confidence
B07BQK1RTD,1.0,high_confidence
B07BSFXRS2,1.0,high_confidence
B07BT8JY7W,1.0,high_confidence
B07BWS4CSM,1.0,high_confidence
B07BZ6T96P,1.0,high_confidence
B07C1Q7P9L,1.0,high_confidence
B07C86S5N2,1.0,high_confidence
B07C89YK4N,1.0,high_confidence
B07CCLV3XP,1.0,high_confidence
B07CGSLYVL,1.0,high_confidence
B07CHD2GJD,1.0,high_confidence
B07CJ4LGX6,1.0,high_confidence
B07CK733SF,1.0,high_confidence
B07CMG1Z86,1.0,high_confidence
B07CMP685Y,1.0,high_confidence
B07CN7853D,1.0,high_confidence
B07CNJMCMF,1.0,high_confidence
B07CS9CG1Q,1.0,high_confidence
B07CZ9HJ72,1.0,high_confidence
B07D27WMB6,1.0,high_confidence
B07D5TSFCV,1.0,high_confidence
B07D94SVSB,1.0,high_confidence
B07D9BSHBK,1.0,high_confidence
B07DD796Y9,1.0,high_confidence
B07DD82V4M,1.0,high_confidence
B07DFZX639,1.0,high_confidence
B07DZCFPX7,1.0,high_confidence
B07F2XGDP5,1.0,high_confidence
B07F5GJJFJ,1.0,high_confidence
B07F8P5BNM,1.0,high_confidence
B07F8R48BR,1.0,high_confidence
B07F9GS3VY,1.0,high_confidence
B07FCYCJP6,1.0,high_confidence
B07FDB7GMZ,1.0,high_confidence
B07FP82KMH,1.0,high_confidence
B07FQLTS1X,1.0,high_confidence
B07FR21ZHX,1.0,high_confidence
B07FXHSHKC,1.0,high_confidence
B07FXWWPN6,1.0,high_confidence
B07G1RQRZT,1.0,high_confidence
B07G4W83Y8,1.0,high_confidence
B07G5QX7FV,1.0,high_confidence
B07GBT82S7,1.0,high_confidence
B07GSH4FW5,1.0,high_confidence
B07GSVMQWZ,1.0,high_confidence
B07GWQ8BG1,1.0,high_confidence
B07GXDVV4Z,1.0,high_confidence
B07GXPPBVB,1.0,high_confidence
B07H24XVP7,1.0,high_confidence
B07H253XTD,1.0,high_confidence
B07H51PPQF,1.0,high_confidence
B07HCJ9HLK,1.0,high_confidence
B07HFVBK9Z,1.0,high_confidence
B07HJVXBT2,1.0,high_confidence
B07HNXZG3M,1.0,high_confidence
B07HQ18BD4,1.0,high_confidence
B07HQJJLQP,1.0,high_confidence
B07J4RSZVY,1.0,high_confidence
B07J54LNZB,1.0,high_confidence
B07JBN81BD,1.0,high_confidence
B07JC62DB3,1.0,high_confidence
B07JH72TND,1.0,high_confidence
B07JJPBLMR,1.0,high_confidence
B07JM13HKL,1.0,high_confidence
B07JM66LDN,1.0,high_confidence
B07JP5ZBFD,1.0,high_confidence
B07JVKFDYW,1.0,high_confidence
B07JVQXHCW,1.0,high_confidence
B07JYN599N,1.0,high_confidence
B07JZHGCD6,1.0,high_confidence
B07K2L8BMC,1.0,high_confidence
B07K34RX5J,1.0,high_confidence
B07K6GKCQ9,1.0,high_confidence
B07KCFS4VC,1.0,high_confidence
B07KD75FLZ,1.0,high_confidence
B07KHGT45H,1.0,high_confidence
B07KL224BC,1.0,high_confidence
B07KL3X3NL,1.0,high_confidence
B07KQ4PF54,1.0,high_confidence
B07KQ585WJ,1.0,high_confidence
B07KR1YDV4,1.0,high_confidence
B07KVRGVLW,1.0,high_confidence
B07KWVHFCY,1.0,high_confidence
B07KY13JHG,1.0,high_confidence
B07L7M66MQ,1.0,high_confidence
B07LBFCFB4,1.0,high_confidence
B07LD5NQPJ,1.0,high_confidence
B07M5CLV5L,1.0,high_confidence
B07MBLQH4Y,1.0,high_confidence
B07MNMNQDP,1.0,high_confidence
B07MQR6J35,1.0,high_confidence
B07MTH4LNG,1.0,high_confidence
B07MYVS3F6,1.0,high_confidence
B07MZS3MTQ,1.0,high_confidence
B07MZTK5F3,1.0,high_confidence
B07N4GLDMB,1.0,high_confidence
B07N6NK4CS,1.0,high_confidence
