parent_asin,title,family,leaf_category,quality_tier,predicted_pool_member,selection_frequency,rating_number,test_event_count,max_history_length,quality_history_13,quality_history_10_rating_4,quality_catalog_history,average_rating,metadata_nonempty_count
B0009P834G,"Casio Women's 'Classic' Quartz Resin Casual Watch, Color:Black (Model: LQ139A-1)",watches,Wrist Watches,high_confidence,True,1.0,1011.0,8.0,20,2,2,3,3.9,9.0
B000AL9CUI,"5.11 Tactical Patrol Ready 40 Liter Bag, Police Security Car Front Seat Organizer, Style 59012",luggage,Travel Duffels,high_confidence,True,1.0,2850.0,5.0,12,0,1,0,4.8,9.0
B000GX3IIM,Invicta Men's 8929 Pro Diver Collection Automatic Gold-Tone Watch,watches,Wrist Watches,high_confidence,True,1.0,773.0,4.0,8,0,0,0,4.6,9.0
B000KL36EQ,Occidental Leather 5509 Suspender Loop Attachment Set,accessories,Keyrings & Keychains,high_confidence,True,1.0,582.0,4.0,13,1,1,0,4.7,9.0
B000MXB6NA,Bali Women's Flower Underwire Bra #0180,clothing,Everyday Bras,high_confidence,True,1.0,898.0,8.0,16,1,2,2,4.4,9.0
B000ROHR78,American Science & Surplus Nerd SPEC Glasses,accessories,Sunglasses,high_confidence,True,1.0,495.0,4.0,12,0,1,0,4.0,9.0
B001GS6Y0A,Globe Men's Tilt Skate Shoe,shoes,Skateboarding,high_confidence,True,1.0,2316.0,10.0,13,2,3,2,4.7,8.0
B001J0HI3C,"A&R Sports Suspenders, Senior , Black",accessories,Suspenders,high_confidence,True,1.0,413.0,3.0,21,1,1,0,4.5,9.0
B001V5J61M,Darn Tough Vermont Merino Wool Standard Issue Crew Cushion Sock,clothing,Athletic Socks,high_confidence,True,1.0,600.0,8.0,31,1,1,1,4.7,9.0
B003O696D4,Darn Tough Men's No Show light,clothing,Athletic Socks,high_confidence,True,1.0,1079.0,28.0,11,0,4,5,4.5,9.0
B003OQTPJO,Pendleton Men's Shetland Crew Neck Sweater,clothing,Pullovers,high_confidence,True,1.0,776.0,11.0,20,1,1,0,4.5,7.0
B003TMD0YY,Fast Wrap 18-20mm Long Nylon Band Replacement for Timex Expedition SPORT 1 PIECE WATCH BAND,watches,Watch Bands,high_confidence,True,1.0,245.0,7.0,8,0,0,2,4.1,9.0
B003WSZXPO,Crocs Men's and Women's Athens Flip Flop | Water Shoes | Beach Sandals,shoes,Sandals,high_confidence,True,1.0,11363.0,72.0,18,6,9,13,4.4,9.0
B004A7YLPY,"Levi's Men's Extra Capacity Slimfold Wallet, Dark Brown, One Size",accessories,Wallets,high_confidence,True,1.0,1572.0,21.0,20,1,2,1,4.4,8.0
B004QMSTGA,BEARPAW Men's Moc II Multiple Colors | Men's Slipper | Men's Shoe | Comfortable & Lightweight,shoes,Loafers & Slip-Ons,high_confidence,True,1.0,8571.0,83.0,30,7,11,10,4.6,8.0
B004ULGY3C,Scala Women's Visor Hat With Big Brim,accessories,Visors,high_confidence,True,1.0,1189.0,8.0,7,0,0,1,4.5,8.0
B006IUT6TC,Queenberry Sterling Silver Snake Cable Bracelet with Lobster Clasp for European Bead Charms,jewelry,Charm Bracelets,high_confidence,True,1.0,971.0,8.0,26,2,3,4,4.5,8.0
B006JUWIZ0,KAVU Watchband - Nylon Webbing Wrist Band for Any Watch Face,watches,Watch Bands,high_confidence,True,1.0,572.0,11.0,22,1,1,0,4.2,7.0
B007AAL354,Mens Realistic Robin Hood Costume,costumes & accessories,Costumes,high_confidence,True,1.0,1561.0,12.0,14,1,2,0,4.0,8.0
B00851JMW8,"Gem Stone King 925 Sterling Silver Green Peridot Stud Earrings For Women (2.00 Cttw, Gemstone Birthstone, Round 6MM)",jewelry,Stud,high_confidence,True,1.0,856.0,4.0,13,2,2,1,4.5,8.0
B008M7NZIC,Big Boys' Stay Puft Costume,costumes & accessories,Costumes,high_confidence,True,1.0,381.0,5.0,16,1,0,1,4.2,9.0
B008OVRXT8,Jefferies Socks Baby Girls' Seamless Organic Cotton Tights,accessories,Tights,high_confidence,True,1.0,2529.0,7.0,9,0,0,0,4.7,9.0
B008U7KRBW,Fruit of the Loom Men's Tag-Free Tank A-Shirt,clothing,Undershirts,high_confidence,True,1.0,42165.0,194.0,62,32,39,49,4.6,9.0
B009UQC8LY,Disney Nightmare Before Christmas Men's Fat Head T-Shirt,clothing,T-Shirts,high_confidence,True,1.0,1036.0,6.0,17,1,3,1,4.7,8.0
B00AMX599W,KLOUD City Purple two-layer lint jewelry box organizer display storage case with lock,"shoe, jewelry & watch accessories",Jewelry Boxes,high_confidence,True,1.0,1148.0,7.0,11,0,1,2,4.5,7.0
B00B4AC5LM,LOX - Mega-Grip Earring Backs for Secure Hold Hypo-allergenic Gold Tone - 2 Pair Pack,jewelry,Stud,high_confidence,True,1.0,223.0,6.0,17,1,1,2,4.6,8.0
